,begin_quarantine,full_quarantine,time_to_full_quarantine,strength_of_quarantine,length_of_full_quarantine,day_quit_quarantine,increase_rate_from_quit_quarantine,increase_before_drop,quarantine_enforcement
Charlotte,61.26494049014989,65.70737266591313,4.442432175763233,54.103318087404595,31.29266678778474,97.00003945369787,0.4881769968840585,5.175714285714307,38.84224648437499
Chicago,60.29710693456682,63.38438107149032,3.087274136923499,80.67271871720217,31.765432253787274,95.14981332527759,0.157152709585565,6.828571428571422,38.564496484375
Cincinnati,60.147714389531274,63.330889481457575,3.1831750919262984,42.68925073584842,48.15219159276904,111.48308107422662,0.8090109890110366,2.0314285714285774,35.32964982638889
Cleveland,60.69435451507116,65.38339633195748,4.689041816886325,50.33732141254234,33.82122368361321,99.2046200155707,0.31930016329188565,-7.30714285714285,30.405984515570943
Cologne,60.330999200892165,63.190441949629616,2.8594427487374463,94.6235722568356,17.889613433014617,81.08005538264423,0.8991094302550486,52.21428571428572,77.80216080246913
Colorado Springs,26.5,27.5,1.0,78.53,67.5,95.0,1.0,-2.535714285714306,873.5058454152249
Columbus,58.044198023301746,62.12437100668201,4.080172983380268,46.77516730878038,55.87560488604761,117.99997589272962,0.7502110168699868,-5.8342857142856985,24.54723226446281
Concord,58.06095449417474,62.740917580080705,4.679963085905974,76.15629826109424,34.2589885574541,96.99990613753481,0.32850493949382226,-4.9942857142857235,30.28986470588235
Copenhagen,57.017728361535966,59.798501443384644,2.780773081848676,86.65018886339672,17.549525571011948,77.34802701439659,0.5566573575896019,5.925714285714292,60.965147222222235
Corpus Christi,19.5,20.5,1.0,81.075,74.5,95.0,1.0,-5.654285714285706,914.1247555555555
Dallas,60.77457566489482,65.20286220689161,4.428286541996787,59.07207304486343,28.95611298659979,94.1589751934914,0.4872040446371566,4.780000000000001,43.53442354340072
Dayton,61.759686441607336,66.84712307644398,5.087436634836637,43.242338563884324,40.229766741950115,107.0768898183941,0.8921079102000704,3.469999999999999,49.340103628792384
Denver,59.872679519534856,64.14322742484705,4.2705479053122,71.57646950873222,29.856771902848408,93.99999932769546,0.3945839911285269,2.694285714285712,44.64244375743163
Detroit,61.42732821193174,66.78045045760713,5.353122245675397,59.46250183737126,34.00789324593062,100.78834370353775,0.3845928937670381,-3.4000000000000057,41.87926894463668
Dublin,61.5,62.5,1.0,77.575,32.5,95.0,1.0,23.82142857142857,99.86648413682278
