sub_region_1,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13
East Ayrshire Council,-7.0,-4.0,0.0,1.0,0.0,2.0,-2.0,-2.0,0.0,0.0,1.0,1.0,1.0,0.0,-1.0,-1.0,1.0,2.0,2.0,1.0,0.0,-2.0,0.0,1.0,1.0,2.0,0.0,-1.0,-3.0,-4.0,-5.0,-9.0,-15.0,-18.0,-20.0,-22.0,-23.0,-36.0,-53.0,-61.0,-63.0,-64.0,-55.0,-51.0,-65.0,-66.0,-66.0,-67.0,-66.0,-58.0,-51.0,-65.0,-66.0,-66.0,-67.0,-71.0,-55.0,-51.0,-75.0,-65.0,-65.0,-65.0,-64.0,-53.0,-45.0,-63.0,-63.0,-63.0,-63.0,-62.0,-49.0,-44.0,-61.0,-61.0,-61.0,-62.0,-61.0,-48.0,-41.0,-60.0,-59.0,-59.0,-59.0,-67.0,-46.0,-41.0,-58.0,-58.0,-58.0
East Dunbartonshire Council,0.0,2.0,2.0,5.0,4.0,2.0,0.0,-2.0,3.0,2.0,1.0,3.0,2.0,0.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,-1.0,0.0,1.0,-2.0,-3.0,-6.0,-8.0,-8.0,-16.0,-24.0,-29.0,-29.0,-25.0,-32.0,-52.0,-65.0,-72.0,-73.0,-73.0,-61.0,-56.0,-75.0,-76.0,-75.0,-75.0,-74.0,-61.0,-54.0,-75.0,-76.0,-76.0,-76.0,-79.0,-58.0,-54.0,-84.0,-77.0,-76.0,-75.0,-73.0,-53.0,-51.0,-73.0,-73.0,-73.0,-72.0,-71.0,-54.0,-48.0,-72.0,-73.0,-72.0,-72.0,-71.0,-52.0,-42.0,-73.0,-71.0,-71.0,-70.0,-74.0,-50.0,-44.0,-69.0,-70.0,-69.0
East Java,4.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,-6.0,-13.0,-15.0,-16.0,-18.0,-11.0,-6.0,-25.0,-28.0,-56.0,-29.0,-30.0,-22.0,-13.0,-30.0,-31.0,-31.0,-32.0,-31.0,-23.0,-13.0,-31.0,-32.0,-32.0,-31.0,-56.0,-28.0,-12.0,-29.0,-31.0,-30.0,-30.0,-30.0,-21.0,-9.0,-28.0,-29.0,-29.0,-32.0,-37.0,-27.0,-12.0,-30.0,-33.0,-33.0,-32.0,-57.0,-27.0,-11.0,-31.0,-33.0,-32.0,-55.0,-32.0,-25.0,-8.0,-31.0,-31.0,-31.0
East Kalimantan,14.0,2.0,5.0,4.0,4.0,6.0,6.0,14.0,4.0,6.0,5.0,4.0,6.0,6.0,15.0,4.0,4.0,4.0,4.0,6.0,4.0,14.0,5.0,6.0,5.0,5.0,6.0,5.0,14.0,5.0,-1.0,-9.0,-13.0,-13.0,-16.0,-7.0,-5.0,-24.0,-30.0,-55.0,-30.0,-31.0,-14.0,-14.0,-30.0,-32.0,-31.0,-31.0,-31.0,-15.0,-14.0,-29.0,-31.0,-32.0,-30.0,-54.0,-18.0,-12.0,-28.0,-29.0,-28.0,-27.0,-28.0,-11.0,-10.0,-27.0,-27.0,-27.0,-26.0,-36.0,-17.0,-14.0,-29.0,-30.0,-29.0,-28.0,-52.0,-15.0,-10.0,-27.0,-28.0,-28.0,-51.0,-27.0,-12.0,-6.0,-25.0,-27.0,-26.0
East Lothian Council,-5.0,-1.0,-12.0,1.0,2.0,0.0,-1.0,-4.0,-1.0,-1.0,2.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,3.0,0.0,1.0,0.0,-1.0,-5.0,1.0,-3.0,-9.0,-14.0,-22.0,-26.0,-26.0,-21.0,-29.0,-47.0,-62.0,-68.0,-70.0,-68.0,-55.0,-56.0,-72.0,-72.0,-72.0,-72.0,-70.0,-55.0,-53.0,-71.0,-72.0,-72.0,-71.0,-75.0,-56.0,-57.0,-79.0,-71.0,-72.0,-72.0,-70.0,-54.0,-52.0,-70.0,-70.0,-70.0,-69.0,-69.0,-52.0,-49.0,-69.0,-70.0,-70.0,-69.0,-67.0,-51.0,-50.0,-70.0,-67.0,-67.0,-67.0,-70.0,-49.0,-44.0,-67.0,-66.0,-65.0
East Nusa Tenggara,9.0,1.0,3.0,2.0,1.0,0.0,-2.0,8.0,4.0,5.0,5.0,-1.0,3.0,5.0,12.0,5.0,1.0,6.0,5.0,4.0,4.0,9.0,3.0,5.0,5.0,5.0,4.0,5.0,10.0,6.0,3.0,3.0,1.0,-1.0,-3.0,-7.0,-2.0,-22.0,-28.0,-55.0,-31.0,-30.0,-17.0,-8.0,-29.0,-28.0,-25.0,-27.0,-25.0,-15.0,-7.0,-25.0,-26.0,-29.0,-35.0,-63.0,-32.0,-16.0,-36.0,-28.0,-27.0,-28.0,-25.0,-15.0,-6.0,-25.0,-24.0,-22.0,-25.0,-25.0,-15.0,-5.0,-24.0,-23.0,-23.0,-22.0,-49.0,-14.0,-3.0,-20.0,-21.0,-22.0,-49.0,-19.0,-9.0,3.0,-19.0,-20.0,-20.0
East Renfrewshire Council,-3.0,-3.0,0.0,2.0,2.0,2.0,-3.0,-2.0,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,-2.0,0.0,2.0,1.0,1.0,-2.0,-1.0,-2.0,-1.0,-1.0,-2.0,-1.0,-4.0,-1.0,-8.0,-12.0,-20.0,-27.0,-30.0,-32.0,-27.0,-35.0,-53.0,-67.0,-73.0,-74.0,-76.0,-62.0,-56.0,-77.0,-77.0,-76.0,-77.0,-77.0,-61.0,-56.0,-78.0,-78.0,-77.0,-77.0,-82.0,-59.0,-56.0,-85.0,-77.0,-76.0,-76.0,-76.0,-54.0,-53.0,-75.0,-76.0,-74.0,-74.0,-75.0,-52.0,-50.0,-75.0,-74.0,-73.0,-73.0,-73.0,-53.0,-47.0,-75.0,-73.0,-71.0,-72.0,-77.0,-49.0,-48.0,-71.0,-71.0,-70.0
East Riding of Yorkshire,-5.0,-4.0,-17.0,-16.0,-16.0,-17.0,-18.0,-3.0,-1.0,-2.0,1.0,1.0,0.0,-1.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,-2.0,0.0,-1.0,-3.0,-8.0,-14.0,-18.0,-20.0,-21.0,-25.0,-36.0,-50.0,-59.0,-61.0,-62.0,-55.0,-52.0,-64.0,-65.0,-65.0,-65.0,-64.0,-55.0,-49.0,-64.0,-64.0,-65.0,-65.0,-79.0,-56.0,-57.0,-82.0,-64.0,-64.0,-64.0,-64.0,-51.0,-44.0,-61.0,-61.0,-61.0,-61.0,-60.0,-49.0,-46.0,-58.0,-60.0,-60.0,-60.0,-60.0,-47.0,-42.0,-58.0,-58.0,-57.0,-58.0,-76.0,-48.0,-45.0,-56.0,-55.0,-55.0
East Sussex,-4.0,-6.0,-18.0,-18.0,-18.0,-19.0,-18.0,-2.0,-4.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,0.0,-2.0,0.0,2.0,0.0,1.0,0.0,-1.0,-1.0,-2.0,-2.0,-3.0,-5.0,-12.0,-19.0,-24.0,-26.0,-24.0,-30.0,-41.0,-56.0,-62.0,-64.0,-64.0,-57.0,-57.0,-66.0,-66.0,-67.0,-67.0,-66.0,-56.0,-53.0,-67.0,-68.0,-68.0,-68.0,-80.0,-56.0,-58.0,-83.0,-67.0,-67.0,-66.0,-66.0,-53.0,-50.0,-64.0,-64.0,-64.0,-64.0,-63.0,-51.0,-48.0,-62.0,-65.0,-63.0,-64.0,-62.0,-49.0,-48.0,-61.0,-61.0,-61.0,-61.0,-77.0,-49.0,-47.0,-60.0,-59.0,-59.0
Eastern Cape,-1.0,-1.0,1.0,2.0,4.0,3.0,3.0,2.0,-1.0,5.0,5.0,4.0,4.0,4.0,9.0,12.0,7.0,9.0,8.0,7.0,7.0,7.0,4.0,5.0,4.0,2.0,2.0,3.0,4.0,1.0,2.0,0.0,-4.0,-11.0,-13.0,-15.0,-8.0,-18.0,-17.0,-19.0,-27.0,-71.0,-54.0,-45.0,-69.0,-68.0,-68.0,-68.0,-67.0,-50.0,-41.0,-69.0,-70.0,-69.0,-69.0,-83.0,-53.0,-43.0,-83.0,-68.0,-68.0,-67.0,-66.0,-48.0,-38.0,-65.0,-65.0,-65.0,-65.0,-64.0,-43.0,-36.0,-80.0,-63.0,-62.0,-60.0,-72.0,-28.0,-22.0,-47.0,-48.0,-47.0,-47.0,-46.0,-22.0,-17.0,-45.0,-45.0,-45.0
Eastern Province,2.0,4.0,4.0,3.0,3.0,4.0,-2.0,2.0,4.0,3.0,3.0,2.0,3.0,-1.0,3.0,5.0,4.0,4.0,3.0,4.0,0.0,3.0,4.0,-9.0,-10.0,-10.0,-10.0,-3.0,0.0,-11.0,-17.0,-20.0,-23.0,-27.0,-18.0,-17.0,-32.0,-37.0,-38.0,-39.0,-39.0,-34.0,-26.0,-37.0,-38.0,-38.0,-38.0,-38.0,-38.0,-27.0,-39.0,-41.0,-62.0,-59.0,-57.0,-49.0,-45.0,-54.0,-54.0,-53.0,-54.0,-55.0,-47.0,-44.0,-54.0,-54.0,-55.0,-57.0,-57.0,-51.0,-47.0,-53.0,-51.0,-50.0,-46.0,-45.0,-38.0,-33.0,-43.0,-44.0,-44.0,-43.0,-43.0,-34.0,-30.0,-41.0,-42.0,-42.0,-43.0
Ebonyi,4.0,7.0,2.0,2.0,4.0,3.0,1.0,13.0,3.0,2.0,3.0,-1.0,-3.0,-4.0,-4.0,6.0,2.0,0.0,-3.0,-3.0,-6.0,4.0,6.0,0.0,1.0,1.0,-6.0,-9.0,7.0,4.0,-3.0,-5.0,1.0,-3.0,-6.0,-2.0,3.0,-12.0,-17.0,-16.0,-21.0,-19.0,-3.0,0.0,-23.0,-23.0,-29.0,-26.0,-21.0,-2.0,-1.0,-23.0,-23.0,-26.0,-25.0,-34.0,-5.0,-6.0,-42.0,-25.0,-23.0,-24.0,-19.0,-5.0,-3.0,-25.0,-23.0,-23.0,-25.0,-22.0,-4.0,-1.0,-26.0,-26.0,-24.0,-25.0,-30.0,2.0,-4.0,-21.0,-19.0,-19.0,-18.0,-16.0,4.0,-7.0,-20.0,-18.0,-19.0
Edinburgh,-2.0,1.0,-3.0,-1.0,0.0,-1.0,-2.0,0.0,3.0,-2.0,-1.0,0.0,0.0,0.0,3.0,3.0,-1.0,0.0,0.0,-1.0,-1.0,2.0,5.0,-2.0,-2.0,-3.0,-5.0,-10.0,-5.0,-6.0,-18.0,-29.0,-38.0,-42.0,-43.0,-37.0,-43.0,-62.0,-74.0,-78.0,-80.0,-79.0,-67.0,-67.0,-81.0,-81.0,-80.0,-81.0,-80.0,-68.0,-67.0,-81.0,-81.0,-81.0,-81.0,-83.0,-68.0,-68.0,-86.0,-81.0,-80.0,-81.0,-79.0,-65.0,-65.0,-79.0,-80.0,-79.0,-79.0,-78.0,-65.0,-64.0,-79.0,-79.0,-79.0,-79.0,-77.0,-63.0,-63.0,-80.0,-78.0,-78.0,-78.0,-79.0,-62.0,-61.0,-77.0,-77.0,-76.0
Edo,4.0,1.0,4.0,2.0,-2.0,-3.0,-2.0,-1.0,-1.0,-3.0,-1.0,0.0,1.0,5.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,3.0,-2.0,-2.0,4.0,2.0,0.0,1.0,-1.0,-4.0,-2.0,5.0,1.0,-2.0,-5.0,-14.0,-20.0,-21.0,-22.0,-12.0,-9.0,-32.0,-33.0,-36.0,-32.0,-29.0,-13.0,-8.0,-35.0,-33.0,-39.0,-36.0,-39.0,-15.0,-9.0,-46.0,-34.0,-34.0,-33.0,-28.0,-11.0,-6.0,-33.0,-34.0,-35.0,-33.0,-28.0,-12.0,-3.0,-30.0,-31.0,-31.0,-31.0,-33.0,-6.0,-1.0,-27.0,-27.0,-28.0,-26.0,-20.0,-4.0,-4.0,-25.0,-25.0,-26.0
Ehime,2.0,-1.0,1.0,0.0,0.0,1.0,1.0,-2.0,1.0,-49.0,2.0,1.0,1.0,2.0,5.0,7.0,1.0,0.0,-3.0,-2.0,-2.0,-2.0,-4.0,-1.0,-2.0,-3.0,-2.0,-2.0,-7.0,-3.0,-1.0,-3.0,-2.0,-2.0,-48.0,-6.0,-2.0,-1.0,-3.0,-2.0,-2.0,-4.0,-4.0,0.0,-3.0,-3.0,-7.0,-6.0,-7.0,-6.0,-6.0,-5.0,-7.0,-9.0,-8.0,-7.0,-13.0,-15.0,-8.0,-7.0,-8.0,-8.0,-9.0,-14.0,-15.0,-9.0,-12.0,-13.0,-13.0,-13.0,-17.0,-18.0,-13.0,-14.0,-56.0,-18.0,-22.0,-22.0,-25.0,-66.0,-67.0,-63.0,-12.0,-13.0,-12.0,-18.0,-7.0,-9.0,-10.0
Ekiti,5.0,2.0,10.0,9.0,7.0,6.0,8.0,5.0,0.0,9.0,10.0,11.0,9.0,6.0,0.0,3.0,8.0,6.0,6.0,5.0,5.0,4.0,1.0,1.0,0.0,-5.0,-4.0,-4.0,5.0,1.0,-3.0,-1.0,-2.0,-6.0,-2.0,3.0,-3.0,-24.0,-28.0,-25.0,-27.0,-29.0,-10.0,-6.0,-37.0,-48.0,-48.0,-45.0,-39.0,-15.0,-2.0,-45.0,-38.0,-43.0,-37.0,-44.0,-9.0,-3.0,-54.0,-41.0,-40.0,-32.0,-33.0,-4.0,3.0,-42.0,-41.0,-41.0,-35.0,-32.0,-6.0,2.0,-35.0,-38.0,-37.0,-32.0,-34.0,2.0,5.0,-29.0,-37.0,-27.0,-35.0,-18.0,0.0,3.0,-27.0,-37.0,-25.0
El Beheira Governorate,11.0,13.0,17.0,13.0,10.0,10.0,7.0,10.0,12.0,14.0,4.0,13.0,12.0,12.0,12.0,13.0,18.0,15.0,13.0,13.0,13.0,14.0,16.0,19.0,16.0,14.0,-35.0,-12.0,2.0,1.0,2.0,-5.0,-7.0,-10.0,-8.0,-13.0,-16.0,-16.0,-18.0,-25.0,-26.0,-36.0,-46.0,-23.0,-23.0,-24.0,-24.0,-23.0,-30.0,-40.0,-22.0,-22.0,-23.0,-23.0,-23.0,-27.0,-37.0,-19.0,-18.0,-19.0,-19.0,-18.0,-24.0,-33.0,-23.0,-53.0,-17.0,-20.0,-18.0,-13.0,-26.0,-20.0,-18.0,-17.0,-16.0,-15.0,-4.0,-22.0,-19.0,-16.0,-18.0,-16.0,-13.0,1.0,-10.0,-12.0,-10.0,-11.0,-14.0
Embu County,-5.0,-3.0,-3.0,-2.0,-3.0,-4.0,-2.0,0.0,3.0,3.0,6.0,3.0,3.0,4.0,-2.0,3.0,1.0,6.0,4.0,1.0,4.0,2.0,-1.0,2.0,6.0,4.0,0.0,1.0,0.0,3.0,1.0,-9.0,-11.0,-13.0,-16.0,-16.0,-16.0,-23.0,-24.0,-30.0,-31.0,-31.0,-22.0,-22.0,-31.0,-33.0,-28.0,-33.0,-29.0,-20.0,-22.0,-31.0,-29.0,-27.0,-30.0,-44.0,-21.0,-25.0,-49.0,-29.0,-29.0,-33.0,-26.0,-21.0,-26.0,-32.0,-31.0,-29.0,-31.0,-29.0,-17.0,-17.0,-27.0,-25.0,-27.0,-26.0,-43.0,-16.0,-19.0,-24.0,-24.0,-23.0,-26.0,-21.0,-15.0,-12.0,-24.0,-20.0,-23.0
Emilia-Romagna,1.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,-13.0,-15.0,-15.0,-15.0,-15.0,-16.0,-8.0,-10.0,-13.0,-13.0,-14.0,-15.0,-18.0,-13.0,-20.0,-27.0,-32.0,-40.0,-46.0,-57.0,-53.0,-50.0,-55.0,-56.0,-57.0,-58.0,-62.0,-64.0,-64.0,-66.0,-68.0,-71.0,-70.0,-66.0,-65.0,-67.0,-69.0,-68.0,-68.0,-67.0,-64.0,-63.0,-63.0,-64.0,-64.0,-64.0,-65.0,-63.0,-66.0,-91.0,-61.0,-60.0,-59.0,-59.0,-58.0,-57.0,-57.0,-58.0,-56.0,-57.0,-57.0,-75.0,-51.0,-52.0,-54.0,-53.0,-53.0,-88.0,-53.0,-46.0,-40.0,-42.0,-42.0,-41.0,-41.0,-41.0,-28.0,-37.0,-38.0,-38.0
