country_region,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13
Croatia,10.0,43.0,1.0,4.0,4.0,-4.0,0.0,40.0,55.0,3.0,12.0,-17.0,-12.0,0.0,20.0,-20.0,32.0,33.0,31.0,42.0,19.0,74.0,74.0,33.0,46.0,37.0,15.0,-28.0,-97.0,-159.0,-502.0,-592.0,-667.0,-828.0,-916.0,-857.0,-1007.0,-1176.0,-1307.0,-1326.0,-1326.0,-1290.0,-1087.0,-1069.0,-1260.0,-1251.0,-1239.0,-1224.0,-1204.0,-987.0,-998.0,-1177.0,-1180.0,-1171.0,-1177.0,-1284.0,-1111.0,-1066.0,-1855.0,-1192.0,-1136.0,-1121.0,-1098.0,-801.0,-786.0,-1074.0,-1075.0,-1049.0,-1046.0,-1019.0,-745.0,-728.0,-935.0,-938.0,-943.0,-929.0,-1769.0,-763.0,-718.0,-800.0,-807.0,-792.0,-771.0,-736.0,-340.0,-462.0,-614.0,-647.0,-591.0
Czechia,53.0,44.0,-6.0,-4.0,-7.0,-13.0,-14.0,80.0,27.0,-7.0,-3.0,-6.0,-13.0,-16.0,73.0,68.0,-6.0,-21.0,-21.0,-19.0,-29.0,54.0,76.0,-19.0,-19.0,-210.0,-227.0,-260.0,-82.0,-170.0,-414.0,-546.0,-579.0,-617.0,-621.0,-477.0,-470.0,-620.0,-638.0,-631.0,-651.0,-641.0,-393.0,-454.0,-622.0,-643.0,-626.0,-640.0,-638.0,-398.0,-395.0,-618.0,-631.0,-623.0,-667.0,-1164.0,-397.0,-351.0,-1273.0,-581.0,-561.0,-557.0,-552.0,-198.0,-327.0,-533.0,-534.0,-522.0,-531.0,-533.0,-208.0,-204.0,-475.0,-481.0,-491.0,-507.0,-1138.0,-254.0,-197.0,-421.0,-431.0,-424.0,-451.0,-1115.0,-100.0,-14.0,-347.0,-333.0,-326.0
Côte d'Ivoire,-1.0,1.0,-2.0,-2.0,-2.0,-3.0,-3.0,0.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,5.0,5.0,5.0,4.0,3.0,3.0,1.0,2.0,4.0,6.0,5.0,2.0,2.0,-2.0,0.0,3.0,-4.0,-6.0,-8.0,-8.0,-5.0,-3.0,-12.0,-16.0,-18.0,-21.0,-22.0,-13.0,-9.0,-24.0,-25.0,-24.0,-25.0,-24.0,-13.0,-7.0,-24.0,-26.0,-26.0,-26.0,-25.0,-12.0,-7.0,-56.0,-23.0,-24.0,-25.0,-24.0,-10.0,-3.0,-22.0,-23.0,-22.0,-23.0,-23.0,-10.0,-7.0,-21.0,-22.0,-21.0,-20.0,-49.0,-7.0,-1.0,-19.0,-19.0,-18.0,-18.0,-17.0,-3.0,6.0,-16.0,-15.0,-15.0
Denmark,-35.0,-39.0,-23.0,-18.0,-19.0,-24.0,-29.0,-18.0,-1.0,16.0,16.0,17.0,16.0,13.0,1.0,3.0,12.0,13.0,12.0,11.0,7.0,4.0,-12.0,4.0,1.0,-6.0,-163.0,-257.0,-93.0,-134.0,-296.0,-306.0,-320.0,-325.0,-328.0,-159.0,-166.0,-324.0,-326.0,-322.0,-322.0,-324.0,-162.0,-166.0,-318.0,-314.0,-316.0,-321.0,-320.0,-142.0,-133.0,-348.0,-350.0,-353.0,-490.0,-492.0,-133.0,-136.0,-500.0,-289.0,-282.0,-274.0,-265.0,-78.0,-83.0,-238.0,-231.0,-230.0,-229.0,-233.0,-71.0,-93.0,-228.0,-219.0,-225.0,-229.0,-290.0,-77.0,-52.0,-201.0,-194.0,-193.0,-192.0,-464.0,-33.0,-26.0,-186.0,-182.0,-175.0
Dominican Republic,-1.0,-9.0,-2.0,3.0,1.0,1.0,1.0,2.0,-4.0,4.0,4.0,1.0,-55.0,-3.0,3.0,-5.0,3.0,2.0,2.0,2.0,2.0,3.0,-5.0,2.0,3.0,1.0,0.0,-10.0,-1.0,-9.0,-11.0,-13.0,-22.0,-46.0,-58.0,-59.0,-51.0,-68.0,-71.0,-73.0,-74.0,-75.0,-66.0,-56.0,-72.0,-73.0,-73.0,-73.0,-72.0,-63.0,-53.0,-70.0,-71.0,-71.0,-73.0,-83.0,-67.0,-54.0,-68.0,-69.0,-68.0,-69.0,-68.0,-59.0,-49.0,-66.0,-69.0,-67.0,-67.0,-66.0,-57.0,-47.0,-63.0,-64.0,-64.0,-64.0,-63.0,-53.0,-43.0,-73.0,-60.0,-61.0,-61.0,-60.0,-49.0,-40.0,-57.0,-58.0,-58.0
Ecuador,-2.0,0.0,-4.0,-5.0,-6.0,-11.0,-13.0,-8.0,-5.0,-70.0,-70.0,-10.0,-7.0,-8.0,0.0,0.0,-6.0,-7.0,-7.0,-8.0,-9.0,-1.0,2.0,-10.0,-10.0,-10.0,-10.0,-18.0,-8.0,-9.0,-31.0,-64.0,-76.0,-78.0,-79.0,-69.0,-59.0,-81.0,-82.0,-84.0,-84.0,-83.0,-72.0,-61.0,-82.0,-82.0,-82.0,-83.0,-81.0,-70.0,-59.0,-81.0,-82.0,-81.0,-81.0,-84.0,-76.0,-66.0,-79.0,-79.0,-79.0,-78.0,-78.0,-71.0,-61.0,-76.0,-77.0,-76.0,-76.0,-75.0,-67.0,-58.0,-73.0,-74.0,-73.0,-72.0,-75.0,-63.0,-52.0,-69.0,-69.0,-68.0,-68.0,-66.0,-55.0,-36.0,-65.0,-65.0,-65.0
Egypt,119.0,297.0,420.0,387.0,293.0,254.0,148.0,131.0,304.0,331.0,-76.0,331.0,273.0,235.0,157.0,324.0,442.0,386.0,357.0,333.0,222.0,183.0,333.0,429.0,396.0,336.0,-1314.0,-699.0,-298.0,-103.0,0.0,-126.0,-232.0,-350.0,-331.0,-466.0,-614.0,-604.0,-662.0,-858.0,-889.0,-1217.0,-1360.0,-801.0,-820.0,-822.0,-828.0,-837.0,-1061.0,-1232.0,-818.0,-799.0,-813.0,-819.0,-810.0,-984.0,-1143.0,-748.0,-706.0,-714.0,-726.0,-737.0,-919.0,-1092.0,-927.0,-1568.0,-651.0,-702.0,-691.0,-739.0,-937.0,-764.0,-711.0,-702.0,-682.0,-670.0,-489.0,-807.0,-711.0,-664.0,-675.0,-648.0,-597.0,-373.0,-548.0,-576.0,-525.0,-551.0,-609.0
El Salvador,4.0,0.0,5.0,4.0,3.0,3.0,8.0,4.0,1.0,5.0,4.0,4.0,3.0,9.0,6.0,4.0,7.0,6.0,5.0,5.0,10.0,5.0,2.0,6.0,5.0,5.0,-6.0,-1.0,0.0,-3.0,-9.0,-16.0,-20.0,-32.0,-38.0,-35.0,-53.0,-66.0,-68.0,-68.0,-68.0,-65.0,-60.0,-50.0,-64.0,-64.0,-64.0,-65.0,-63.0,-57.0,-48.0,-67.0,-70.0,-72.0,-79.0,-83.0,-72.0,-53.0,-67.0,-65.0,-64.0,-65.0,-62.0,-57.0,-51.0,-63.0,-64.0,-64.0,-64.0,-60.0,-56.0,-49.0,-60.0,-61.0,-60.0,-60.0,-75.0,-53.0,-46.0,-57.0,-59.0,-59.0,-70.0,-67.0,-62.0,-48.0,-66.0,-67.0,-66.0
Estonia,20.0,7.0,-1.0,3.0,9.0,-4.0,-12.0,13.0,1.0,-1196.0,-301.0,-305.0,-307.0,-317.0,8.0,19.0,23.0,23.0,11.0,9.0,10.0,41.0,53.0,4.0,13.0,0.0,-38.0,-200.0,-65.0,-80.0,-576.0,-643.0,-674.0,-651.0,-643.0,-155.0,-137.0,-653.0,-676.0,-685.0,-694.0,-689.0,-196.0,-185.0,-710.0,-707.0,-712.0,-709.0,-710.0,-203.0,-177.0,-687.0,-700.0,-683.0,-711.0,-1177.0,-229.0,-236.0,-688.0,-704.0,-682.0,-686.0,-658.0,-180.0,-155.0,-642.0,-630.0,-641.0,-632.0,-641.0,-164.0,-140.0,-599.0,-621.0,-607.0,-610.0,-1133.0,-167.0,-103.0,-547.0,-536.0,-536.0,-541.0,-529.0,-100.0,-45.0,-535.0,-497.0,-506.0
Fiji,4.0,2.0,9.0,8.0,8.0,9.0,11.0,5.0,4.0,9.0,9.0,8.0,9.0,12.0,8.0,6.0,11.0,11.0,10.0,10.0,14.0,8.0,8.0,10.0,6.0,9.0,8.0,11.0,7.0,4.0,9.0,7.0,7.0,7.0,-3.0,-11.0,-2.0,-8.0,-10.0,-15.0,-17.0,-15.0,-15.0,-6.0,-22.0,-26.0,-23.0,-24.0,-41.0,-32.0,-17.0,-43.0,-42.0,-73.0,-50.0,-71.0,-36.0,-21.0,-73.0,-39.0,-40.0,-38.0,-26.0,-18.0,-14.0,-20.0,-22.0,-22.0,-21.0,-18.0,-14.0,-16.0,-20.0,-20.0,-23.0,-19.0,-14.0,-12.0,-11.0,-14.0,-14.0,-15.0,-15.0,-13.0,-10.0,-11.0,-17.0,-15.0,-14.0
Finland,-22.0,-41.0,-117.0,-114.0,-113.0,-125.0,-145.0,-53.0,-25.0,-342.0,-350.0,-347.0,-358.0,-376.0,-65.0,-61.0,-196.0,-204.0,-207.0,-214.0,-220.0,-9.0,8.0,-24.0,-31.0,-45.0,-57.0,-143.0,-135.0,-171.0,-353.0,-520.0,-722.0,-751.0,-756.0,-363.0,-385.0,-795.0,-825.0,-824.0,-832.0,-827.0,-429.0,-442.0,-840.0,-858.0,-853.0,-863.0,-862.0,-470.0,-453.0,-873.0,-879.0,-874.0,-930.0,-1545.0,-526.0,-595.0,-1572.0,-887.0,-869.0,-863.0,-846.0,-375.0,-351.0,-826.0,-812.0,-807.0,-812.0,-818.0,-362.0,-357.0,-806.0,-813.0,-807.0,-864.0,-1526.0,-401.0,-291.0,-780.0,-772.0,-767.0,-765.0,-759.0,-228.0,-150.0,-782.0,-752.0,-734.0
France,-22.0,-11.0,-213.0,-195.0,-168.0,-212.0,-219.0,-72.0,-13.0,-261.0,-248.0,-212.0,-257.0,-250.0,-76.0,20.0,-72.0,-53.0,-43.0,-64.0,-57.0,2.0,1.0,-11.0,-15.0,-10.0,-23.0,-37.0,-67.0,-102.0,-473.0,-736.0,-915.0,-961.0,-968.0,-798.0,-753.0,-995.0,-1009.0,-996.0,-1010.0,-999.0,-807.0,-772.0,-1000.0,-1002.0,-969.0,-993.0,-977.0,-781.0,-719.0,-976.0,-978.0,-947.0,-966.0,-966.0,-748.0,-679.0,-1241.0,-946.0,-917.0,-937.0,-928.0,-711.0,-670.0,-927.0,-917.0,-881.0,-901.0,-891.0,-665.0,-584.0,-868.0,-873.0,-830.0,-853.0,-1216.0,-627.0,-525.0,-805.0,-803.0,-757.0,-776.0,-1128.0,-523.0,-435.0,-625.0,-609.0,-585.0
Gabon,4.0,0.0,0.0,4.0,2.0,3.0,0.0,3.0,2.0,2.0,2.0,-2.0,3.0,6.0,4.0,4.0,2.0,4.0,2.0,4.0,7.0,-3.0,4.0,-1.0,-7.0,-8.0,-3.0,5.0,-2.0,-2.0,-9.0,-10.0,-11.0,-12.0,-10.0,-18.0,-19.0,-25.0,-28.0,-28.0,-28.0,-24.0,-21.0,-15.0,-26.0,-28.0,-30.0,-29.0,-25.0,-19.0,-10.0,-30.0,-29.0,-29.0,-32.0,-26.0,-23.0,-4.0,-72.0,-56.0,-55.0,-52.0,-61.0,-37.0,-25.0,-48.0,-48.0,-47.0,-45.0,-43.0,-35.0,-14.0,-43.0,-35.0,-30.0,-30.0,-56.0,-18.0,-6.0,-28.0,-28.0,-28.0,-26.0,-24.0,-11.0,-4.0,-25.0,-26.0,-25.0
Georgia,4.0,8.0,4.0,5.0,5.0,4.0,12.0,5.0,8.0,5.0,3.0,6.0,5.0,12.0,8.0,7.0,-7.0,-35.0,-6.0,-7.0,-1.0,3.0,8.0,-11.0,-10.0,-11.0,-13.0,-10.0,-5.0,1.0,-24.0,-30.0,-37.0,-37.0,-37.0,-33.0,-32.0,-52.0,-55.0,-55.0,-55.0,-51.0,-41.0,-38.0,-58.0,-62.0,-62.0,-64.0,-60.0,-52.0,-43.0,-62.0,-64.0,-63.0,-70.0,-59.0,-50.0,-45.0,-60.0,-60.0,-60.0,-63.0,-73.0,-65.0,-59.0,-81.0,-75.0,-73.0,-72.0,-69.0,-60.0,-51.0,-58.0,-59.0,-59.0,-59.0,-56.0,-44.0,-36.0,-57.0,-57.0,-58.0,-57.0,-53.0,-44.0,-36.0,-51.0,-58.0,-50.0
Germany,-4.0,-14.0,-63.0,-65.0,-70.0,-95.0,-127.0,-41.0,-37.0,-224.0,-151.0,-64.0,-49.0,-48.0,3.0,24.0,-3.0,-19.0,-20.0,-21.0,-37.0,7.0,28.0,-25.0,-40.0,-43.0,-59.0,-90.0,-42.0,-68.0,-293.0,-423.0,-505.0,-563.0,-607.0,-498.0,-543.0,-688.0,-728.0,-735.0,-740.0,-740.0,-539.0,-636.0,-729.0,-731.0,-731.0,-738.0,-738.0,-514.0,-472.0,-737.0,-751.0,-753.0,-787.0,-1445.0,-466.0,-386.0,-1481.0,-766.0,-747.0,-725.0,-713.0,-339.0,-329.0,-593.0,-598.0,-590.0,-587.0,-594.0,-296.0,-270.0,-540.0,-557.0,-563.0,-580.0,-1414.0,-315.0,-266.0,-495.0,-490.0,-466.0,-469.0,-515.0,-98.0,-7.0,-470.0,-446.0,-437.0
Ghana,2.0,1.0,4.0,4.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,0.0,2.0,1.0,4.0,4.0,3.0,3.0,-1.0,-42.0,-1.0,3.0,2.0,3.0,2.0,3.0,5.0,2.0,3.0,-7.0,-8.0,-9.0,-10.0,-6.0,3.0,-4.0,-21.0,-21.0,-23.0,-22.0,-23.0,1.0,3.0,-50.0,-50.0,-52.0,-51.0,-46.0,-27.0,-13.0,-49.0,-48.0,-48.0,-47.0,-56.0,-25.0,-11.0,-59.0,-46.0,-47.0,-46.0,-43.0,-21.0,-9.0,-35.0,-30.0,-30.0,-28.0,-24.0,-4.0,-10.0,-24.0,-24.0,-24.0,-24.0,-42.0,-1.0,-5.0,-20.0,-21.0,-21.0,-20.0,-16.0,3.0,-2.0,-18.0,-18.0,-18.0
Greece,6.0,13.0,23.0,6.0,28.0,30.0,-2.0,15.0,34.0,27.0,27.0,19.0,16.0,17.0,19.0,54.0,-496.0,19.0,29.0,27.0,25.0,18.0,18.0,0.0,15.0,-97.0,-115.0,-153.0,-205.0,-296.0,-309.0,-342.0,-374.0,-378.0,-383.0,-346.0,-332.0,-440.0,-446.0,-652.0,-446.0,-446.0,-404.0,-417.0,-412.0,-422.0,-433.0,-434.0,-433.0,-415.0,-432.0,-421.0,-426.0,-419.0,-415.0,-414.0,-360.0,-334.0,-397.0,-407.0,-412.0,-422.0,-550.0,-397.0,-465.0,-638.0,-411.0,-405.0,-398.0,-386.0,-315.0,-303.0,-348.0,-350.0,-342.0,-339.0,-586.0,-289.0,-252.0,-281.0,-278.0,-265.0,-265.0,-258.0,-182.0,-166.0,-204.0,-206.0,-208.0
Guatemala,2.0,0.0,4.0,4.0,3.0,3.0,4.0,3.0,1.0,4.0,3.0,3.0,3.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,6.0,4.0,2.0,4.0,4.0,4.0,3.0,5.0,3.0,-3.0,-12.0,-38.0,-45.0,-47.0,-48.0,-44.0,-48.0,-59.0,-60.0,-59.0,-59.0,-56.0,-43.0,-39.0,-51.0,-50.0,-49.0,-50.0,-48.0,-34.0,-33.0,-52.0,-53.0,-60.0,-74.0,-79.0,-64.0,-47.0,-51.0,-50.0,-50.0,-50.0,-48.0,-33.0,-34.0,-44.0,-45.0,-45.0,-45.0,-43.0,-29.0,-31.0,-42.0,-44.0,-43.0,-43.0,-61.0,-29.0,-29.0,-40.0,-41.0,-40.0,-41.0,-38.0,-22.0,-18.0,-39.0,-40.0,-41.0
Guinea-Bissau,4.0,-1.0,-1.0,1.0,3.0,4.0,1.0,-4.0,0.0,-17.0,-43.0,-17.0,-4.0,3.0,8.0,5.0,-5.0,-4.0,4.0,6.0,6.0,1.0,1.0,-35.0,2.0,6.0,3.0,1.0,-3.0,-7.0,-3.0,-3.0,-3.0,-15.0,-16.0,-13.0,-17.0,-14.0,-17.0,-21.0,-38.0,-36.0,-28.0,-27.0,-37.0,-46.0,-38.0,-39.0,-40.0,-24.0,-25.0,-41.0,-41.0,-39.0,-38.0,-47.0,-21.0,-21.0,-51.0,-38.0,-34.0,-31.0,-29.0,-16.0,-13.0,-30.0,-32.0,-30.0,-29.0,-32.0,-17.0,-12.0,-31.0,-29.0,-28.0,-27.0,-49.0,-15.0,-12.0,-27.0,-30.0,-29.0,-29.0,-28.0,-14.0,-7.0,-32.0,-30.0,-29.0
