sub_region_1,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13
Thuringia,1.0,16.0,3.0,1.0,-1.0,0.0,1.0,1.0,0.0,-1.0,0.0,-1.0,4.0,8.0,5.0,10.0,5.0,2.0,1.0,0.0,-2.0,0.0,14.0,-1.0,-3.0,-1.0,3.0,13.0,10.0,23.0,21.0,9.0,3.0,-2.0,-7.0,-20.0,-21.0,-17.0,-19.0,-19.0,-18.0,-18.0,-20.0,-44.0,-19.0,-15.0,-13.0,-12.0,-14.0,-15.0,5.0,-7.0,-3.0,11.0,12.0,-93.0,3.0,-3.0,-94.0,-3.0,-10.0,-6.0,-7.0,-11.0,6.0,-9.0,-9.0,-8.0,-1.0,-17.0,-15.0,14.0,-12.0,-9.0,4.0,22.0,-93.0,6.0,12.0,-5.0,-6.0,-4.0,-4.0,-3.0,1.0,27.0,-15.0,-5.0,-5.0
Thurrock,-4.0,-9.0,5.0,-2.0,0.0,-1.0,4.0,1.0,0.0,2.0,5.0,1.0,3.0,5.0,6.0,5.0,7.0,2.0,5.0,4.0,12.0,8.0,11.0,9.0,9.0,13.0,22.0,25.0,14.0,8.0,30.0,27.0,40.0,40.0,18.0,0.0,-16.0,-3.0,-19.0,-25.0,-31.0,-31.0,-44.0,-53.0,-36.0,-32.0,-34.0,-35.0,-33.0,-41.0,-43.0,-35.0,-32.0,-31.0,-24.0,-38.0,-40.0,-71.0,-43.0,-32.0,-30.0,-31.0,-33.0,-43.0,-45.0,-34.0,-33.0,-31.0,-31.0,-31.0,-40.0,-41.0,-32.0,-36.0,-32.0,-32.0,-31.0,-37.0,-40.0,-28.0,-27.0,-24.0,-18.0,-33.0,-34.0,-41.0,-27.0,-24.0,-26.0
Ticino,-1.0,-2.0,0.0,0.0,-1.0,1.0,6.0,3.0,28.0,7.0,4.0,-2.0,-4.0,-1.0,-1.0,-11.0,-10.0,6.0,4.0,1.0,6.0,10.0,4.0,9.0,13.0,11.0,8.0,10.0,-5.0,-54.0,-10.0,-18.0,-8.0,-66.0,-22.0,-36.0,-75.0,-28.0,-33.0,-37.0,-38.0,-29.0,-36.0,-69.0,-37.0,-29.0,-31.0,-33.0,-21.0,-29.0,-65.0,-26.0,-24.0,-25.0,-21.0,-14.0,-21.0,-74.0,-88.0,-20.0,-26.0,-29.0,-20.0,-23.0,-59.0,-32.0,-25.0,-25.0,-26.0,-14.0,-19.0,-56.0,-14.0,-17.0,-10.0,-3.0,-82.0,0.0,-41.0,-9.0,-7.0,-8.0,-11.0,-1.0,-3.0,-43.0,-13.0,-4.0,-15.0
Tierra del Fuego Province,-1.0,-3.0,-4.0,-4.0,-2.0,5.0,7.0,6.0,-5.0,-20.0,-23.0,5.0,3.0,5.0,14.0,15.0,10.0,9.0,11.0,16.0,19.0,15.0,14.0,11.0,9.0,11.0,19.0,14.0,12.0,14.0,5.0,-25.0,-34.0,-33.0,-50.0,-58.0,-62.0,-68.0,-68.0,-54.0,-59.0,-51.0,-55.0,-63.0,-57.0,-65.0,-51.0,-53.0,-52.0,-52.0,-62.0,-53.0,-45.0,-38.0,-37.0,-64.0,-51.0,-55.0,-58.0,-56.0,-54.0,-50.0,-50.0,-45.0,-57.0,-58.0,-56.0,-53.0,-50.0,-53.0,-44.0,-54.0,-54.0,-52.0,-47.0,-39.0,-77.0,-36.0,-48.0,-47.0,-43.0,-43.0,-39.0,-38.0,-29.0,-46.0,-39.0,-38.0,-35.0
Timiș County,5.0,11.0,5.0,6.0,3.0,1.0,-2.0,-1.0,4.0,3.0,6.0,3.0,-1.0,-5.0,-1.0,5.0,-4.0,-4.0,-6.0,0.0,-1.0,2.0,9.0,0.0,7.0,15.0,7.0,0.0,-2.0,2.0,-14.0,-20.0,-20.0,-24.0,-17.0,-22.0,-16.0,-34.0,-28.0,-48.0,-52.0,-45.0,-46.0,-54.0,-45.0,-44.0,-45.0,-44.0,-40.0,-41.0,-50.0,-40.0,-37.0,-37.0,-38.0,-28.0,-29.0,-46.0,-35.0,-34.0,-22.0,-18.0,-25.0,-44.0,-94.0,-81.0,-43.0,-40.0,-38.0,-36.0,-38.0,-45.0,-38.0,-37.0,-36.0,-28.0,-50.0,-42.0,-45.0,-37.0,-35.0,-33.0,-34.0,-27.0,-26.0,-35.0,-29.0,-27.0,-25.0
Tlaxcala,3.0,3.0,2.0,-2.0,-1.0,1.0,-1.0,1.0,4.0,1.0,0.0,-1.0,-1.0,5.0,9.0,8.0,4.0,2.0,3.0,1.0,1.0,2.0,2.0,-3.0,-1.0,-1.0,0.0,5.0,9.0,6.0,4.0,0.0,-4.0,-5.0,-7.0,-5.0,-13.0,-12.0,-14.0,-15.0,-16.0,-13.0,-10.0,-15.0,-11.0,-14.0,-14.0,-14.0,-12.0,-6.0,-11.0,-8.0,-9.0,-6.0,0.0,-25.0,-18.0,-22.0,-14.0,-15.0,-9.0,-12.0,-14.0,-17.0,-25.0,-26.0,-25.0,-23.0,-23.0,-24.0,-21.0,-25.0,-23.0,-25.0,-16.0,-4.0,-18.0,-14.0,-21.0,-15.0,-19.0,-19.0,-21.0,-16.0,-6.0,-13.0,-18.0,-19.0,-18.0
Tochigi,2.0,-3.0,-2.0,2.0,2.0,3.0,0.0,4.0,6.0,3.0,6.0,5.0,7.0,18.0,12.0,10.0,-1.0,7.0,0.0,2.0,0.0,2.0,-2.0,1.0,-4.0,5.0,6.0,3.0,-5.0,6.0,-1.0,4.0,3.0,8.0,7.0,7.0,5.0,-1.0,2.0,7.0,12.0,8.0,2.0,-16.0,1.0,6.0,-1.0,4.0,3.0,5.0,1.0,2.0,6.0,2.0,-1.0,3.0,1.0,-4.0,-17.0,4.0,7.0,5.0,4.0,-26.0,1.0,-8.0,-1.0,-4.0,-2.0,-3.0,-3.0,-7.0,-5.0,-1.0,-6.0,2.0,0.0,-7.0,-10.0,-7.0,-1.0,-14.0,3.0,-1.0,-7.0,-6.0,-5.0,-1.0,-1.0
Tokushima,4.0,-1.0,0.0,2.0,-1.0,5.0,-2.0,2.0,3.0,4.0,5.0,3.0,5.0,13.0,9.0,5.0,3.0,7.0,-5.0,3.0,-2.0,1.0,-2.0,-1.0,2.0,0.0,3.0,0.0,1.0,3.0,-1.0,2.0,0.0,5.0,9.0,3.0,1.0,2.0,4.0,3.0,5.0,0.0,0.0,3.0,3.0,5.0,-7.0,5.0,2.0,6.0,6.0,2.0,4.0,0.0,1.0,2.0,6.0,-8.0,-7.0,4.0,6.0,4.0,2.0,1.0,0.0,0.0,0.0,-3.0,-1.0,-1.0,0.0,-4.0,-3.0,2.0,-3.0,4.0,-1.0,-2.0,-8.0,-2.0,2.0,-6.0,-1.0,-4.0,-3.0,-3.0,-3.0,1.0,-3.0
Tokyo,5.0,-9.0,3.0,3.0,2.0,2.0,2.0,0.0,3.0,-1.0,5.0,1.0,5.0,15.0,11.0,10.0,-5.0,10.0,-4.0,2.0,4.0,2.0,-9.0,4.0,-10.0,6.0,4.0,5.0,-17.0,10.0,0.0,4.0,4.0,4.0,2.0,4.0,4.0,0.0,3.0,14.0,25.0,13.0,-6.0,-32.0,9.0,5.0,-13.0,7.0,9.0,5.0,-4.0,12.0,4.0,-1.0,-3.0,3.0,1.0,-10.0,-34.0,7.0,5.0,-1.0,7.0,-30.0,2.0,-21.0,1.0,-7.0,-5.0,-3.0,-8.0,-11.0,-17.0,-4.0,-9.0,-1.0,-2.0,-8.0,-8.0,-15.0,-10.0,-27.0,-1.0,-2.0,-6.0,-7.0,-6.0,-4.0,-5.0
Tolima,-7.0,-4.0,-5.0,-4.0,-5.0,-8.0,-8.0,-9.0,-7.0,-10.0,-9.0,-7.0,-6.0,1.0,5.0,8.0,3.0,1.0,0.0,-2.0,-6.0,-2.0,2.0,-6.0,-5.0,-6.0,-7.0,-7.0,-5.0,1.0,1.0,5.0,-1.0,-6.0,-2.0,-77.0,-73.0,-74.0,-51.0,-65.0,-63.0,-62.0,-64.0,-68.0,-62.0,-55.0,-54.0,-55.0,-58.0,-61.0,-66.0,-59.0,-52.0,-49.0,-64.0,-78.0,-66.0,-71.0,-59.0,-55.0,-54.0,-57.0,-57.0,-63.0,-69.0,-61.0,-58.0,-58.0,-60.0,-61.0,-64.0,-68.0,-59.0,-55.0,-49.0,-47.0,-53.0,-84.0,-88.0,-47.0,-44.0,-43.0,-42.0,-39.0,-78.0,-82.0,-43.0,-41.0,-43.0
