country_region,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13
Romania,83.0,1020.0,581.0,564.0,305.0,-28.0,-33.0,193.0,428.0,-93.0,703.0,760.0,-130.0,-141.0,218.0,1097.0,335.0,680.0,458.0,-54.0,421.0,904.0,67.0,-17.0,103.0,141.0,962.0,224.0,-352.0,-909.0,-254.0,-179.0,-101.0,-66.0,-400.0,-606.0,-2023.0,-1905.0,-1776.0,-2121.0,-2052.0,-2043.0,-2237.0,-2319.0,-1686.0,-1976.0,-1746.0,-1628.0,-1735.0,-2036.0,-2208.0,-1470.0,-1307.0,-1207.0,-1202.0,-1425.0,-1687.0,-1929.0,-1266.0,-1429.0,-1084.0,-866.0,-1460.0,-1948.0,-2471.0,-1906.0,-1475.0,-1155.0,-1067.0,-1298.0,-1725.0,-1848.0,-945.0,-892.0,-979.0,-955.0,-1673.0,-1631.0,-2102.0,-1362.0,-1002.0,-1243.0,-1120.0,-1009.0,-1060.0,-862.0,-508.0,-795.0,-441.0
Rwanda,7.0,-2.0,8.0,9.0,7.0,5.0,3.0,11.0,2.0,6.0,8.0,2.0,0.0,10.0,7.0,-5.0,2.0,2.0,2.0,1.0,3.0,15.0,4.0,9.0,8.0,4.0,0.0,6.0,7.0,-7.0,9.0,4.0,-2.0,-1.0,1.0,-3.0,-15.0,-1.0,-4.0,-12.0,-16.0,-11.0,-12.0,-18.0,-7.0,-6.0,-7.0,-14.0,-11.0,-13.0,-18.0,-2.0,-9.0,-11.0,-14.0,-13.0,-14.0,-21.0,-12.0,-16.0,-20.0,-15.0,-17.0,-25.0,-28.0,-19.0,-15.0,-20.0,-22.0,-13.0,-18.0,-24.0,-15.0,-10.0,-20.0,-17.0,-18.0,-22.0,-23.0,-6.0,-3.0,-10.0,-15.0,-12.0,-11.0,-17.0,-10.0,-10.0,-8.0
Réunion,-23.0,30.0,1.0,20.0,16.0,29.0,9.0,-2.0,22.0,2.0,4.0,4.0,7.0,-14.0,-19.0,-7.0,-26.0,-15.0,-18.0,-5.0,-27.0,-35.0,-1.0,-27.0,0.0,7.0,-19.0,-18.0,-19.0,-5.0,-31.0,-51.0,-74.0,-76.0,-82.0,-88.0,-89.0,-91.0,0.0,-91.0,-89.0,-88.0,-93.0,-92.0,0.0,0.0,-88.0,-89.0,0.0,-93.0,0.0,-91.0,0.0,0.0,-92.0,-88.0,-100.0,0.0,0.0,-93.0,0.0,0.0,0.0,-94.0,-94.0,0.0,-91.0,-91.0,-90.0,0.0,-100.0,-93.0,0.0,0.0,0.0,-91.0,-91.0,-94.0,-91.0,-92.0,-93.0,-90.0,-90.0,0.0,-91.0,-89.0,-73.0,-73.0,-73.0
Saudi Arabia,12.0,16.0,11.0,13.0,34.0,-29.0,74.0,-13.0,16.0,9.0,-50.0,-67.0,6.0,95.0,9.0,-16.0,-6.0,-11.0,15.0,64.0,-7.0,-39.0,-14.0,25.0,86.0,80.0,-45.0,-221.0,-108.0,-100.0,-240.0,-313.0,-364.0,-458.0,-695.0,-554.0,-485.0,-602.0,-610.0,-622.0,-691.0,-862.0,-655.0,-554.0,-577.0,-596.0,-618.0,-693.0,-861.0,-673.0,-575.0,-608.0,-705.0,-753.0,-790.0,-939.0,-747.0,-664.0,-697.0,-715.0,-708.0,-785.0,-919.0,-767.0,-668.0,-670.0,-686.0,-706.0,-766.0,-969.0,-818.0,-723.0,-715.0,-715.0,-717.0,-772.0,-925.0,-749.0,-666.0,-690.0,-709.0,-701.0,-759.0,-908.0,-732.0,-640.0,-658.0,-665.0,-679.0
Senegal,3.0,3.0,-1.0,1.0,-3.0,-2.0,-5.0,-3.0,-4.0,-7.0,-11.0,-8.0,0.0,0.0,0.0,0.0,-2.0,2.0,-2.0,0.0,0.0,-1.0,0.0,-4.0,-1.0,-3.0,-1.0,-4.0,-3.0,-8.0,-8.0,-8.0,-9.0,-9.0,-13.0,-20.0,-23.0,-19.0,-23.0,-25.0,-23.0,-26.0,-29.0,-28.0,-22.0,-23.0,-25.0,-24.0,-25.0,-29.0,-27.0,-24.0,-24.0,-28.0,-26.0,-28.0,-31.0,-30.0,-32.0,-26.0,-27.0,-27.0,-28.0,-35.0,-33.0,-28.0,-28.0,-29.0,-27.0,-30.0,-37.0,-37.0,-34.0,-31.0,-31.0,-27.0,-39.0,-37.0,-38.0,-31.0,-29.0,-29.0,-29.0,-29.0,-34.0,-34.0,-30.0,-27.0,-31.0
Serbia,18.0,52.0,57.0,21.0,21.0,4.0,1.0,24.0,33.0,2.0,35.0,15.0,-4.0,-18.0,12.0,16.0,19.0,4.0,-10.0,19.0,-10.0,-6.0,-10.0,-4.0,0.0,18.0,41.0,2.0,-12.0,-12.0,-21.0,-8.0,-15.0,-12.0,-21.0,-26.0,-63.0,-60.0,-65.0,-63.0,-60.0,-57.0,-48.0,-56.0,-55.0,-54.0,-58.0,-52.0,-49.0,-62.0,-87.0,-44.0,-37.0,-34.0,-32.0,-31.0,-83.0,-82.0,-29.0,-49.0,-31.0,-21.0,-22.0,-81.0,-81.0,-79.0,-29.0,-17.0,-13.0,-13.0,-80.0,-78.0,-5.0,1.0,-12.0,0.0,-75.0,-50.0,-24.0,-21.0,-8.0,-29.0,18.0,14.0,28.0,41.0,14.0,7.0,29.0
Singapore,-10.0,-18.0,-7.0,-7.0,-6.0,-10.0,-14.0,-5.0,-3.0,-12.0,-2.0,-4.0,-5.0,-8.0,-2.0,-1.0,-7.0,-3.0,-7.0,-13.0,-8.0,-16.0,-7.0,-9.0,-4.0,-9.0,-8.0,-9.0,-1.0,4.0,1.0,2.0,-3.0,-2.0,-6.0,-15.0,-18.0,-23.0,-9.0,-13.0,-15.0,-24.0,-15.0,-12.0,-16.0,-10.0,-15.0,-22.0,-29.0,-27.0,-27.0,-26.0,-37.0,-46.0,-37.0,-44.0,-51.0,-57.0,-53.0,-48.0,-52.0,-52.0,-57.0,-62.0,-61.0,-57.0,-60.0,-64.0,-66.0,-73.0,-71.0,-72.0,-65.0,-63.0,-63.0,-70.0,-73.0,-69.0,-70.0,-67.0,-63.0,-65.0,-60.0,-68.0,-68.0,-69.0,-64.0,-59.0,-62.0
Slovakia,408.0,279.0,361.0,351.0,212.0,280.0,75.0,294.0,-152.0,164.0,245.0,61.0,138.0,-44.0,57.0,-126.0,139.0,-2.0,32.0,254.0,-96.0,19.0,251.0,142.0,181.0,-46.0,240.0,-184.0,-172.0,-58.0,-182.0,-70.0,45.0,134.0,5.0,-605.0,-394.0,-379.0,-175.0,-268.0,-143.0,55.0,154.0,57.0,-306.0,-134.0,-71.0,-19.0,-51.0,72.0,287.0,70.0,206.0,50.0,157.0,191.0,82.0,316.0,128.0,-152.0,72.0,263.0,222.0,332.0,-66.0,186.0,188.0,278.0,378.0,307.0,137.0,570.0,182.0,342.0,92.0,264.0,281.0,233.0,261.0,248.0,114.0,30.0,312.0,692.0,615.0,597.0,255.0,96.0,-74.0
Slovenia,127.0,196.0,29.0,12.0,23.0,15.0,76.0,153.0,27.0,26.0,53.0,-160.0,-9.0,8.0,-18.0,-459.0,-30.0,-94.0,-23.0,-15.0,-129.0,9.0,216.0,2.0,15.0,76.0,21.0,-217.0,-230.0,-89.0,-63.0,-44.0,-78.0,-89.0,-193.0,-335.0,-507.0,-220.0,-319.0,-390.0,-363.0,-284.0,-155.0,-390.0,-281.0,-274.0,-246.0,-229.0,-250.0,-341.0,-339.0,-115.0,-94.0,-160.0,-123.0,-201.0,-240.0,-248.0,20.0,-309.0,-168.0,-101.0,-156.0,-190.0,-218.0,-133.0,-89.0,-120.0,-61.0,-129.0,-174.0,-184.0,68.0,-52.0,-206.0,-14.0,-64.0,-82.0,99.0,71.0,-97.0,17.0,81.0,116.0,86.0,79.0,-63.0,-179.0,-27.0
South Africa,5.0,-59.0,-83.0,-72.0,-60.0,-47.0,-23.0,-116.0,-175.0,-77.0,-47.0,-35.0,-38.0,-23.0,-37.0,4.0,-21.0,7.0,4.0,17.0,32.0,15.0,-65.0,-75.0,-62.0,-52.0,-40.0,-35.0,-51.0,-125.0,-136.0,-123.0,-83.0,-53.0,-82.0,-131.0,-160.0,-88.0,-100.0,-56.0,-19.0,-386.0,-499.0,-450.0,-319.0,-299.0,-276.0,-286.0,-344.0,-480.0,-424.0,-313.0,-321.0,-312.0,-296.0,-412.0,-500.0,-472.0,-374.0,-357.0,-320.0,-311.0,-368.0,-508.0,-476.0,-342.0,-350.0,-356.0,-347.0,-384.0,-487.0,-464.0,-376.0,-345.0,-324.0,-276.0,-314.0,-408.0,-388.0,-219.0,-233.0,-211.0,-197.0,-305.0,-418.0,-398.0,-265.0,-270.0,-249.0
South Korea,3.0,-31.0,-17.0,-5.0,14.0,7.0,-10.0,-32.0,-12.0,6.0,-38.0,5.0,1.0,-38.0,-13.0,-17.0,10.0,2.0,-7.0,-2.0,1.0,-16.0,34.0,16.0,-32.0,23.0,19.0,2.0,4.0,-3.0,23.0,12.0,47.0,-18.0,17.0,31.0,52.0,47.0,40.0,61.0,3.0,4.0,16.0,51.0,60.0,54.0,44.0,44.0,36.0,25.0,46.0,48.0,40.0,47.0,31.0,22.0,17.0,8.0,45.0,51.0,124.0,33.0,-19.0,40.0,-20.0,19.0,6.0,6.0,10.0,10.0,21.0,56.0,40.0,41.0,62.0,158.0,123.0,60.0,39.0,95.0,114.0,48.0,36.0,19.0,-36.0,34.0,44.0,35.0,58.0
Spain,488.0,253.0,63.0,119.0,257.0,310.0,382.0,875.0,612.0,718.0,337.0,175.0,277.0,569.0,347.0,77.0,-200.0,-58.0,250.0,18.0,-115.0,269.0,356.0,185.0,347.0,470.0,19.0,-469.0,-845.0,-1517.0,-1432.0,-1443.0,-1430.0,-1520.0,-1565.0,-1721.0,-1773.0,-1510.0,-1536.0,-1522.0,-1541.0,-1590.0,-1718.0,-1773.0,-1587.0,-1617.0,-1590.0,-1585.0,-1621.0,-1722.0,-1780.0,-1560.0,-1552.0,-1512.0,-1662.0,-1750.0,-1705.0,-1775.0,-1565.0,-1471.0,-1501.0,-1491.0,-1540.0,-1690.0,-1772.0,-1467.0,-1497.0,-1455.0,-1463.0,-1504.0,-1673.0,-1545.0,-1274.0,-1240.0,-1230.0,-1229.0,-1481.0,-835.0,-848.0,-487.0,-417.0,-374.0,-489.0,-753.0,-979.0,-1245.0,-296.0,-551.0,-380.0
Sri Lanka,5.0,3.0,4.0,4.0,6.0,10.0,18.0,12.0,5.0,4.0,4.0,6.0,4.0,5.0,6.0,1.0,2.0,1.0,3.0,4.0,8.0,13.0,24.0,31.0,3.0,6.0,3.0,-2.0,-6.0,-13.0,-14.0,-17.0,-18.0,-24.0,-28.0,-56.0,-59.0,-41.0,-35.0,-49.0,-38.0,-47.0,-56.0,-57.0,-39.0,-47.0,-41.0,-48.0,-50.0,-55.0,-55.0,-36.0,-47.0,-46.0,-36.0,-48.0,-53.0,-55.0,-48.0,-49.0,-47.0,-37.0,-47.0,-54.0,-56.0,-37.0,-40.0,-39.0,-40.0,-41.0,-57.0,-57.0,-49.0,-38.0,-39.0,-38.0,-51.0,-56.0,-58.0,-39.0,-41.0,-38.0,-48.0,-51.0,-54.0,-56.0,-34.0,-35.0,-33.0
Sweden,142.0,-795.0,-11.0,209.0,288.0,34.0,419.0,-28.0,429.0,383.0,215.0,62.0,220.0,415.0,249.0,-176.0,156.0,113.0,-37.0,105.0,374.0,508.0,-235.0,126.0,115.0,110.0,-174.0,29.0,1032.0,-354.0,159.0,29.0,39.0,433.0,314.0,1048.0,831.0,120.0,254.0,296.0,545.0,535.0,983.0,587.0,108.0,287.0,308.0,-81.0,200.0,968.0,820.0,599.0,662.0,709.0,957.0,1258.0,951.0,767.0,356.0,395.0,613.0,642.0,668.0,1350.0,1317.0,696.0,839.0,729.0,766.0,540.0,1144.0,1101.0,187.0,292.0,399.0,526.0,455.0,851.0,1173.0,357.0,691.0,715.0,821.0,916.0,1507.0,107.0,510.0,372.0,501.0
Switzerland,559.0,463.0,-3.0,462.0,-120.0,771.0,346.0,941.0,354.0,998.0,293.0,-257.0,-370.0,192.0,-176.0,454.0,-294.0,107.0,131.0,-617.0,-221.0,22.0,703.0,-195.0,-335.0,184.0,-15.0,-1.0,-46.0,967.0,176.0,126.0,298.0,241.0,-139.0,-476.0,-793.0,-195.0,-121.0,-237.0,-348.0,-42.0,312.0,-848.0,-590.0,1.0,82.0,101.0,123.0,251.0,694.0,221.0,189.0,344.0,278.0,649.0,439.0,538.0,512.0,15.0,376.0,380.0,480.0,575.0,559.0,126.0,51.0,440.0,597.0,490.0,475.0,412.0,321.0,-298.0,-31.0,-611.0,-328.0,-469.0,656.0,471.0,-262.0,252.0,745.0,766.0,875.0,712.0,-387.0,47.0,-454.0
Taiwan,-2.0,-21.0,-14.0,-3.0,8.0,-4.0,6.0,3.0,24.0,6.0,4.0,3.0,-9.0,65.0,31.0,21.0,-10.0,-2.0,-14.0,-30.0,-1.0,9.0,26.0,-3.0,-29.0,-4.0,-15.0,-21.0,-28.0,31.0,0.0,-3.0,-11.0,-29.0,-5.0,4.0,24.0,-9.0,-5.0,0.0,-10.0,-11.0,-33.0,17.0,-13.0,-6.0,-10.0,10.0,40.0,-7.0,-12.0,-28.0,-18.0,-8.0,-12.0,-1.0,-20.0,-10.0,-6.0,-1.0,1.0,-5.0,2.0,5.0,19.0,-6.0,-12.0,-16.0,-32.0,-24.0,-9.0,4.0,-10.0,0.0,3.0,-4.0,39.0,13.0,18.0,-6.0,-3.0,-7.0,-13.0,-3.0,-4.0,-1.0,-10.0,-14.0,1.0
Tajikistan,-11.0,-2.0,-2.0,-10.0,-5.0,0.0,-1.0,-1.0,8.0,-2.0,-1.0,-4.0,-15.0,-9.0,-4.0,6.0,0.0,-2.0,-10.0,-11.0,-1.0,-10.0,2.0,-9.0,-8.0,-7.0,-5.0,0.0,4.0,6.0,1.0,1.0,2.0,1.0,4.0,-3.0,14.0,-11.0,-13.0,-17.0,-8.0,-6.0,-5.0,4.0,-3.0,-15.0,-21.0,-5.0,-4.0,-4.0,0.0,-7.0,-11.0,-21.0,-18.0,-5.0,-14.0,-15.0,-17.0,-14.0,-17.0,-5.0,-2.0,-4.0,0.0,-3.0,-8.0,-10.0,-12.0,-20.0,-23.0,-21.0,-20.0,-23.0,-22.0,-21.0,-30.0,-33.0,-32.0,-31.0,-32.0,-31.0,-32.0,-33.0,-34.0,-30.0,-32.0,-32.0,-35.0
Tanzania,3.0,1.0,-1.0,0.0,-2.0,-1.0,-3.0,-4.0,-11.0,0.0,-3.0,-1.0,0.0,-2.0,0.0,0.0,-1.0,4.0,0.0,4.0,5.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,0.0,-2.0,0.0,-2.0,-2.0,-3.0,-3.0,-8.0,-10.0,-5.0,-5.0,-5.0,-4.0,-6.0,-7.0,-7.0,-6.0,-8.0,-7.0,-9.0,-7.0,-11.0,-13.0,-8.0,-15.0,-8.0,-6.0,-15.0,-15.0,-21.0,-18.0,-12.0,-10.0,-11.0,-14.0,-26.0,-22.0,-14.0,-15.0,-18.0,-17.0,-16.0,-20.0,-21.0,-14.0,-15.0,-17.0,-12.0,-22.0,-19.0,-22.0,-16.0,-16.0,-16.0,-14.0,-16.0,-18.0,-21.0,-16.0,-15.0,-15.0
Thailand,-8.0,-5.0,-3.0,-5.0,-3.0,-3.0,-4.0,-12.0,-7.0,-6.0,-6.0,-6.0,-7.0,-7.0,-14.0,-9.0,-7.0,-8.0,-9.0,-8.0,-9.0,-16.0,-11.0,-8.0,-8.0,-8.0,-9.0,-12.0,-21.0,-22.0,-14.0,-15.0,-16.0,-18.0,-24.0,-35.0,-35.0,-29.0,-32.0,-34.0,-40.0,-44.0,-55.0,-54.0,-42.0,-42.0,-41.0,-44.0,-48.0,-58.0,-57.0,-49.0,-45.0,-45.0,-45.0,-48.0,-57.0,-56.0,-47.0,-45.0,-44.0,-44.0,-48.0,-57.0,-55.0,-44.0,-45.0,-45.0,-45.0,-48.0,-57.0,-54.0,-45.0,-43.0,-43.0,-39.0,-42.0,-50.0,-46.0,-39.0,-35.0,-34.0,-34.0,-37.0,-46.0,-41.0,-39.0,-32.0,-32.0
