sub_region_1,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13
Aguascalientes,-14.0,1.0,-5.0,-4.0,-2.0,0.0,-8.0,-16.0,-6.0,-4.0,-7.0,-4.0,0.0,-7.0,-12.0,-2.0,-7.0,-11.0,-6.0,-5.0,-10.0,-18.0,-10.0,-10.0,-2.0,1.0,3.0,8.0,-4.0,-21.0,10.0,1.0,-14.0,-21.0,-35.0,-42.0,-50.0,-42.0,-43.0,-48.0,-49.0,-55.0,-57.0,-62.0,-55.0,-53.0,-53.0,-55.0,-61.0,-61.0,-68.0,-60.0,-59.0,-54.0,-60.0,-77.0,-74.0,-70.0,-60.0,-61.0,-57.0,-60.0,-66.0,-67.0,-70.0,-63.0,-63.0,-65.0,-65.0,-70.0,-69.0,-74.0,-65.0,-64.0,-61.0,-57.0,-71.0,-70.0,-71.0,-64.0,-62.0,-61.0,-60.0,-68.0,-66.0,-72.0,-63.0,-61.0,-62.0
Aichi,-4.0,-12.0,-2.0,-4.0,-4.0,-4.0,-2.0,-8.0,-5.0,-25.0,-4.0,-6.0,-9.0,-13.0,-29.0,-29.0,-17.0,-21.0,-21.0,-22.0,-23.0,-33.0,-42.0,-18.0,-23.0,-20.0,-20.0,-21.0,-35.0,-31.0,-18.0,-19.0,-16.0,-14.0,-41.0,-28.0,-26.0,-14.0,-17.0,-14.0,-15.0,-21.0,-32.0,-35.0,-19.0,-20.0,-21.0,-22.0,-24.0,-38.0,-43.0,-21.0,-25.0,-29.0,-30.0,-35.0,-52.0,-61.0,-40.0,-41.0,-41.0,-42.0,-46.0,-64.0,-59.0,-46.0,-46.0,-49.0,-49.0,-50.0,-59.0,-62.0,-46.0,-47.0,-65.0,-49.0,-53.0,-60.0,-63.0,-71.0,-68.0,-73.0,-47.0,-49.0,-59.0,-63.0,-43.0,-45.0,-45.0
Aizkraukle Municipality,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,
Ajdovščina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-70.0,-65.0,0.0,0.0,0.0,0.0,0.0,0.0,-62.0,0.0,0.0,0.0,0.0,0.0,0.0,-62.0,,,0.0,0.0,0.0,0.0,-56.0,,,0.0,0.0,0.0,0.0,-49.0,,,0.0,0.0,0.0,0.0,-76.0,,,0.0,0.0,0.0,0.0,-53.0,,,0.0,0.0,0.0
Ajman,24.0,21.0,20.0,17.0,11.0,9.0,25.0,17.0,25.0,11.0,10.0,9.0,2.0,18.0,18.0,20.0,16.0,19.0,17.0,7.0,25.0,24.0,21.0,18.0,22.0,11.0,6.0,9.0,5.0,14.0,1.0,-1.0,-8.0,-15.0,-18.0,-18.0,-16.0,-18.0,-23.0,-34.0,-45.0,-66.0,-57.0,-40.0,-46.0,-44.0,-45.0,-50.0,-48.0,-45.0,-45.0,-50.0,-40.0,-47.0,-52.0,-56.0,-48.0,-43.0,-43.0,-45.0,-47.0,-50.0,-54.0,-18.0,-26.0,-28.0,-24.0,-22.0,-15.0,0.0,-21.0,-22.0,-28.0,-21.0,-20.0,-19.0,0.0,-14.0,-20.0,-21.0,-23.0,-24.0,-18.0,-15.0,-13.0,-9.0,-15.0,-11.0,-17.0
Akita,7.0,-5.0,3.0,-9.0,0.0,4.0,-1.0,0.0,-10.0,2.0,-1.0,3.0,-1.0,-17.0,-22.0,-26.0,-23.0,-27.0,-20.0,-26.0,-27.0,-22.0,-21.0,-13.0,-23.0,-22.0,-17.0,-27.0,-19.0,-16.0,-17.0,-20.0,-13.0,-2.0,-27.0,-13.0,-16.0,-10.0,-15.0,-6.0,-11.0,-19.0,-16.0,-20.0,-11.0,-17.0,-20.0,-21.0,-25.0,-26.0,-38.0,-20.0,-22.0,-19.0,-23.0,-30.0,-30.0,-38.0,-26.0,-26.0,-27.0,-23.0,-28.0,-42.0,-33.0,-34.0,-36.0,-37.0,-36.0,-39.0,-48.0,-54.0,-36.0,-42.0,-51.0,-35.0,-47.0,-46.0,-37.0,-45.0,-45.0,-48.0,-35.0,-36.0,-36.0,-47.0,-22.0,-24.0,-24.0
Akwa Ibom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.0,-69.0,-71.0,-69.0,-68.0,-68.0,-71.0,-72.0,-77.0,-77.0,-72.0,-79.0,-74.0,-76.0,-75.0,-77.0,-80.0,-75.0,-76.0,-74.0,-74.0,-72.0,-81.0,-76.0,-80.0,-74.0,-73.0,-81.0,-78.0,0.0,-77.0,-72.0,-74.0,-77.0,-78.0,-80.0,-79.0,-72.0,-69.0,-74.0,-63.0,-75.0,-71.0,-79.0,-74.0,-73.0,-69.0
Al Ahmadi Governorate,8.0,9.0,5.0,4.0,8.0,10.0,8.0,13.0,14.0,12.0,4.0,-9.0,-12.0,-12.0,0.0,3.0,4.0,6.0,6.0,6.0,-3.0,4.0,6.0,3.0,5.0,7.0,-6.0,-21.0,-18.0,-17.0,-21.0,-27.0,-31.0,-26.0,-39.0,-24.0,-50.0,-42.0,-41.0,-39.0,-40.0,-48.0,-37.0,-37.0,-40.0,-43.0,-45.0,-44.0,-55.0,-39.0,-38.0,-35.0,-41.0,-42.0,-46.0,-53.0,-37.0,-36.0,-43.0,-39.0,-41.0,-43.0,-53.0,-45.0,-43.0,-43.0,-38.0,-40.0,-42.0,-56.0,-45.0,-44.0,-46.0,-42.0,-45.0,-44.0,-50.0,-39.0,-38.0,-39.0,-41.0,-45.0,-45.0,-50.0,-33.0,-40.0,-71.0,-72.0,-70.0
Al Asimah Governate,13.0,3.0,11.0,4.0,5.0,14.0,-2.0,7.0,6.0,1.0,-22.0,-27.0,-22.0,-37.0,-9.0,-1.0,5.0,2.0,0.0,-2.0,-24.0,-7.0,-5.0,0.0,-5.0,-3.0,-17.0,-54.0,-36.0,-40.0,-40.0,-42.0,-47.0,-43.0,-64.0,-34.0,-65.0,-52.0,-54.0,-51.0,-52.0,-72.0,-48.0,-53.0,-52.0,-54.0,-54.0,-54.0,-73.0,-52.0,-55.0,-51.0,-60.0,-59.0,-61.0,-74.0,-52.0,-59.0,-53.0,-56.0,-57.0,-58.0,-73.0,-54.0,-58.0,-55.0,-50.0,-53.0,-52.0,-76.0,-55.0,-60.0,-58.0,-59.0,-59.0,-60.0,-74.0,-56.0,-57.0,-55.0,-58.0,-59.0,-57.0,-72.0,-42.0,-55.0,-89.0,-86.0,-88.0
Al Bahah Province,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Farwaniyah Governorate,-1.0,0.0,3.0,2.0,3.0,6.0,0.0,-1.0,5.0,18.0,-2.0,-14.0,-11.0,-8.0,0.0,5.0,-3.0,-6.0,-7.0,-9.0,-11.0,-18.0,-21.0,-22.0,-25.0,-25.0,-31.0,-43.0,-49.0,-46.0,-46.0,-50.0,-53.0,-55.0,-61.0,-55.0,-67.0,-56.0,-56.0,-57.0,-59.0,-66.0,-58.0,-55.0,-55.0,-58.0,-60.0,-64.0,-68.0,-61.0,-60.0,-55.0,-67.0,-68.0,-70.0,-74.0,-68.0,-67.0,-65.0,-66.0,-66.0,-69.0,-74.0,-68.0,-62.0,-60.0,-60.0,-64.0,-65.0,-73.0,-68.0,-69.0,-65.0,-65.0,-67.0,-71.0,-75.0,-69.0,-68.0,-68.0,-69.0,-70.0,-73.0,-77.0,-66.0,-67.0,-80.0,-80.0,-79.0
Al Jahra Governorate,0.0,-1.0,0.0,-1.0,9.0,1.0,25.0,14.0,10.0,7.0,-4.0,5.0,-3.0,7.0,5.0,10.0,9.0,7.0,15.0,13.0,13.0,11.0,7.0,1.0,4.0,11.0,9.0,-8.0,-19.0,-19.0,-18.0,-20.0,-14.0,-13.0,-11.0,-2.0,-45.0,-26.0,-30.0,-18.0,-27.0,-36.0,-16.0,-18.0,-25.0,-16.0,-14.0,-16.0,-21.0,-10.0,-21.0,-7.0,-25.0,-22.0,-30.0,-21.0,-14.0,-25.0,-25.0,-23.0,-22.0,-24.0,-16.0,-15.0,-22.0,-23.0,-15.0,-12.0,-11.0,-28.0,-20.0,-25.0,-21.0,-23.0,-21.0,-29.0,-34.0,-27.0,-29.0,-30.0,-32.0,-31.0,-30.0,-23.0,-13.0,-25.0,-74.0,-71.0,-66.0
Al Jowf,0.0,0.0,2.0,-7.0,0.0,-2.0,0.0,-4.0,-5.0,-4.0,-9.0,2.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,-6.0,0.0,0.0,-2.0,-11.0,-7.0,-4.0,-6.0,0.0,-13.0,-14.0,-28.0,-20.0,-29.0,-40.0,-48.0,-49.0,-52.0,-61.0,-60.0,-58.0,-60.0,-68.0,-56.0,-52.0,-61.0,-58.0,-58.0,-58.0,-60.0,-58.0,-57.0,-57.0,-62.0,-64.0,-68.0,-70.0,-62.0,-64.0,-61.0,-60.0,-56.0,-68.0,-65.0,-62.0,-65.0,-63.0,-66.0,-68.0,-65.0,-71.0,-70.0,-71.0,-69.0,-67.0,-70.0,-70.0,-70.0,-68.0,-65.0,-62.0,-70.0,-66.0,-71.0,-71.0,-67.0,-60.0,-66.0,-60.0,-63.0
Al Madinah Province,-3.0,-1.0,-9.0,-5.0,-7.0,-3.0,-11.0,-5.0,-5.0,-10.0,-3.0,-8.0,-9.0,-14.0,-14.0,-13.0,-19.0,-23.0,-18.0,-24.0,-28.0,-32.0,-31.0,-34.0,-33.0,-40.0,-41.0,-46.0,-47.0,-42.0,-53.0,-56.0,-62.0,-65.0,-69.0,-77.0,-74.0,-80.0,-78.0,-81.0,-83.0,-86.0,-85.0,-82.0,-82.0,-82.0,-83.0,-84.0,-90.0,-89.0,-86.0,-86.0,-87.0,-87.0,-88.0,-90.0,-89.0,-86.0,-87.0,-87.0,-89.0,-89.0,-91.0,-89.0,-87.0,-86.0,-86.0,-86.0,-85.0,-90.0,-89.0,-86.0,-85.0,-85.0,-85.0,-85.0,-89.0,-87.0,-83.0,-84.0,-83.0,-85.0,-85.0,-87.0,-85.0,-82.0,-82.0,-81.0,-83.0
Al Qalyubia Governorate,15.0,14.0,12.0,13.0,5.0,7.0,12.0,16.0,15.0,7.0,-19.0,12.0,17.0,14.0,19.0,22.0,19.0,27.0,24.0,21.0,19.0,22.0,25.0,23.0,22.0,34.0,-68.0,-48.0,-12.0,2.0,-2.0,-8.0,-12.0,-18.0,-26.0,-25.0,-35.0,-38.0,-42.0,-50.0,-50.0,-71.0,-69.0,-41.0,-47.0,-45.0,-44.0,-40.0,-57.0,-55.0,-34.0,-35.0,-35.0,-35.0,-34.0,-52.0,-48.0,-26.0,-30.0,-31.0,-30.0,-26.0,-47.0,-46.0,-33.0,-75.0,-13.0,-19.0,-10.0,-48.0,-39.0,-31.0,-32.0,-32.0,-32.0,-32.0,-29.0,-31.0,-27.0,-28.0,-27.0,-22.0,-23.0,-18.0,-17.0,-18.0,-19.0,-24.0,-27.0
Al Qassim,-5.0,-5.0,-5.0,-4.0,-4.0,-3.0,-12.0,-8.0,-14.0,-5.0,-14.0,-8.0,3.0,-12.0,-7.0,-9.0,-2.0,-7.0,-2.0,-5.0,-6.0,-9.0,-20.0,-17.0,-20.0,-23.0,-13.0,-29.0,-27.0,-30.0,-29.0,-36.0,-41.0,-39.0,-48.0,-62.0,-57.0,-67.0,-64.0,-68.0,-72.0,-73.0,-68.0,-64.0,-64.0,-63.0,-67.0,-68.0,-72.0,-69.0,-62.0,-66.0,-64.0,-70.0,-72.0,-79.0,-71.0,-68.0,-68.0,-69.0,-71.0,-69.0,-72.0,-71.0,-68.0,-66.0,-68.0,-69.0,-65.0,-80.0,-77.0,-69.0,-70.0,-73.0,-73.0,-72.0,-78.0,-73.0,-70.0,-70.0,-73.0,-72.0,-72.0,-75.0,-73.0,-70.0,-68.0,-68.0,-68.0
Alabama,121.0,47.0,126.0,-15.0,78.0,30.0,135.0,227.0,238.0,-33.0,125.0,225.0,224.0,176.0,392.0,444.0,57.0,124.0,59.0,97.0,212.0,387.0,417.0,165.0,114.0,140.0,219.0,157.0,271.0,160.0,47.0,24.0,-13.0,-63.0,-255.0,-213.0,-430.0,-467.0,-313.0,-268.0,-373.0,-559.0,-553.0,-672.0,-551.0,-514.0,-371.0,-512.0,-714.0,-786.0,-983.0,-661.0,-631.0,-691.0,-678.0,-893.0,-829.0,-1212.0,-696.0,-526.0,-509.0,-585.0,-771.0,-554.0,-977.0,-573.0,-427.0,-434.0,-672.0,-600.0,-487.0,-616.0,-459.0,-354.0,-450.0,-278.0,-347.0,-169.0,-325.0,-295.0,-249.0,-162.0,-142.0,-378.0,-86.0,-234.0,-147.0,-154.0,-139.0
Alaska,9.0,10.0,-1.0,15.0,15.0,10.0,39.0,6.0,-8.0,20.0,1.0,7.0,32.0,15.0,21.0,41.0,23.0,17.0,33.0,13.0,39.0,7.0,25.0,22.0,9.0,10.0,5.0,2.0,-6.0,-3.0,-28.0,-56.0,-69.0,-82.0,-104.0,-135.0,-151.0,-155.0,-174.0,-187.0,-186.0,-220.0,-224.0,-250.0,-217.0,-199.0,-195.0,-221.0,-217.0,-227.0,-233.0,-217.0,-216.0,-221.0,-215.0,-213.0,-234.0,-248.0,-221.0,-211.0,-209.0,-195.0,-191.0,-200.0,-219.0,-182.0,-201.0,-203.0,-186.0,-198.0,-197.0,-214.0,-184.0,-179.0,-177.0,-180.0,-156.0,-146.0,-208.0,-159.0,-159.0,-150.0,-155.0,-158.0,-148.0,-193.0,-147.0,-149.0,-142.0
Alba County,1.0,12.0,3.0,1.0,5.0,2.0,12.0,2.0,6.0,1.0,5.0,2.0,-7.0,6.0,5.0,13.0,1.0,-4.0,-2.0,-3.0,7.0,1.0,4.0,-2.0,0.0,-2.0,-4.0,-3.0,-2.0,-12.0,-13.0,-16.0,-17.0,-24.0,-22.0,-17.0,-46.0,-47.0,-45.0,-50.0,-51.0,-49.0,-46.0,-62.0,-47.0,-54.0,-47.0,-47.0,-44.0,-45.0,-58.0,-44.0,-44.0,-43.0,-41.0,-37.0,-37.0,-56.0,-42.0,-46.0,-38.0,-40.0,-51.0,-51.0,-75.0,-73.0,-55.0,-44.0,-42.0,-41.0,-41.0,-52.0,-36.0,-36.0,-35.0,-37.0,-59.0,-44.0,-63.0,-43.0,-37.0,-37.0,-35.0,-26.0,-33.0,-42.0,-28.0,-32.0,-26.0
Alberta,7.0,3.0,-40.0,-9.0,-7.0,-6.0,-1.0,4.0,0.0,3.0,2.0,1.0,1.0,6.0,4.0,4.0,1.0,0.0,0.0,0.0,3.0,-6.0,-4.0,-1.0,-4.0,-5.0,-8.0,-17.0,-26.0,-25.0,-39.0,-45.0,-52.0,-56.0,-53.0,-47.0,-51.0,-63.0,-66.0,-66.0,-68.0,-65.0,-63.0,-63.0,-71.0,-70.0,-71.0,-72.0,-71.0,-63.0,-69.0,-69.0,-70.0,-69.0,-67.0,-77.0,-64.0,-67.0,-71.0,-69.0,-70.0,-67.0,-67.0,-56.0,-54.0,-63.0,-64.0,-66.0,-66.0,-63.0,-52.0,-56.0,-65.0,-63.0,-64.0,-65.0,-58.0,-44.0,-55.0,-66.0,-60.0,-62.0,-63.0,-61.0,-50.0,-55.0,-62.0,-61.0,-58.0
